#  Detector,Energy,Pixel,Amplitude,Center,Width,Background,lowerBin,upperBin,A4Offset
6.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.208688519130000003e+02,4.500000000000000000e+00,1.561853894515679242e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000888e+00
7.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.254302463399999823e+01,2.500000000000000000e+00,5.096569663940770489e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000003553e+00
7.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.225438080039999988e+02,3.000000000000000000e+00,3.481222637491489635e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000003553e+00
7.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.482505357480000043e+02,3.500000000000000000e+00,2.640947987206501146e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000003553e+00
7.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.603232729609999296e+01,4.000000000000000000e+00,2.177657766656290406e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000003553e+00
7.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.337830878370000107e+02,4.500000000000000000e+00,1.084258223510994323e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000003553e+00
7.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.277038937999999746e+01,2.500000000000000000e+00,4.983742628553542886e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.059344862319999976e+02,3.000000000000000000e+00,3.630360348043200514e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.455350858609999989e+02,3.500000000000000000e+00,2.338800651573433864e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.100205640880000004e+02,4.000000000000000000e+00,1.948650084326496890e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.285034053930000084e+02,4.500000000000000000e+00,1.690104451211459358e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.920945781979999367e+01,2.500000000000000000e+00,4.715541485992365445e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.499999999999997335e+00
8.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.037906197159999948e+02,3.000000000000000000e+00,3.575942629005405493e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.499999999999997335e+00
8.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.933947825539999883e+02,3.500000000000000000e+00,2.219202088019228025e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.499999999999997335e+00
8.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.179108032880000678e+01,4.000000000000000000e+00,2.152237630793032874e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.499999999999997335e+00
8.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.544146739150000087e+02,4.500000000000000000e+00,1.486073789937997436e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.499999999999997335e+00
8.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.675237383660000035e+01,2.500000000000000000e+00,5.373161191619450605e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.999999999999994671e+00
8.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.052080937239999940e+02,3.000000000000000000e+00,3.542931512786346548e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.999999999999994671e+00
8.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.408847186669999871e+02,3.500000000000000000e+00,2.796013729490756550e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.999999999999994671e+00
8.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.092184786239999994e+02,4.000000000000000000e+00,1.881140233733218148e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.999999999999994671e+00
8.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.141262552019999958e+02,4.500000000000000000e+00,1.666712703038640608e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.999999999999994671e+00
9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.578924184609999770e+01,2.500000000000000000e+00,4.625458620455963121e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.499999999999998224e+00
9.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.867654382620000320e+01,3.000000000000000000e+00,3.652112710769762849e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.499999999999998224e+00
9.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.182199042649999967e+02,3.500000000000000000e+00,2.297412658095891125e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.499999999999998224e+00
9.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.557018922490000534e+01,4.000000000000000000e+00,2.174830140809150603e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.499999999999998224e+00
9.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.806537484460000087e+01,4.500000000000000000e+00,1.620741314289513291e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.499999999999998224e+00
9.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.228304722590000608e+01,2.500000000000000000e+00,5.462136586515519809e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-9.999999999999994671e+00
9.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.222145166739999951e+02,3.000000000000000000e+00,3.744128014195147180e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-9.999999999999994671e+00
